Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,,,#date+year,#indicator+type,#indicator+value+num,,
LKA,2000-01-01,2000-01-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2000,2000,,18.927786,I,base year is 2015
LKA,2001-01-01,2001-01-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2001,2001,,22.774871,I,base year is 2015
LKA,2002-01-01,2002-01-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2002,2002,,25.301758,I,base year is 2015
LKA,2003-01-01,2003-01-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2003,2003,,29.623325,I,base year is 2015
LKA,2004-01-01,2004-01-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2004,2004,,29.812539,I,base year is 2015
LKA,2005-01-01,2005-01-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2005,2005,,34.777004,I,base year is 2015
LKA,2006-01-01,2006-01-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2006,2006,,37.943812,I,base year is 2015
LKA,2007-01-01,2007-01-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2007,2007,,44.464208,I,base year is 2015
LKA,2008-01-01,2008-01-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2008,2008,,56.289981,I,base year is 2015
LKA,2009-01-01,2009-01-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2009,2009,,63.635476,I,base year is 2015
LKA,2010-01-01,2010-01-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2010,2010,,69.253457,I,base year is 2015
LKA,2011-01-01,2011-01-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2011,2011,,74.650477,I,base year is 2015
LKA,2012-01-01,2012-01-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2012,2012,,78.124300,I,base year is 2015
LKA,2013-01-01,2013-01-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2013,2013,,87.700150,I,base year is 2015
LKA,2014-01-01,2014-01-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2014,2014,,90.655651,X,base year is 2015
LKA,2015-01-01,2015-01-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2015,2015,,107.376783,X,base year is 2015
LKA,2016-01-01,2016-01-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2016,2016,,102.857558,X,base year is 2015
LKA,2017-01-01,2017-01-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2017,2017,,109.636395,X,base year is 2015
LKA,2018-01-01,2018-01-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2018,2018,,119.488305,X,base year is 2015
LKA,2019-01-01,2019-01-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2019,2019,,113.703697,X,base year is 2015
LKA,2020-01-01,2020-01-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2020,2020,,129.249831,X,base year is 2015
LKA,2021-01-01,2021-01-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2021,2021,,136.842129,X,base year is 2015
LKA,2022-01-01,2022-01-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2022,2022,,170.192140,X,base year is 2015
